Donor,Donor Status,Donor Age (months),Transplantation Efficiency,Shannon Index at day 28,Mouse ID Number,0,1,3,4,7,11,14,18,21,25,28,32,At sacrifice,Average body weight gain at sacrifice by donor group
4142.1,Healthy,6.2,> 50%,3.377427756,2,100,97.9,93.6,101.4,107.1,116.3,115.6,121.3,125.5,126.2,127.7,133.3,134.6,142.2
4142.1,Healthy,6.2,> 50%,3.36698328,6,100,96.1,95.3,100.8,103.9,110.1,113.2,121.7,129.5,134.9,134.1,141.1,139.1,
4142.1,Healthy,6.2,> 50%,3.332752409,8,100,97.1,100.7,100.7,105.7,113.6,117.9,127.9,132.9,135.7,136.4,141.4,142.1,
4142.1,Healthy,6.2,> 50%,nd,9,100,99.1,92,98.2,103.6,113.4,117,126.8,134.8,140.2,142,148.2,149.3,
4142.1,Healthy,6.2,> 50%,3.366043461,11,100,94.4,95.2,101.6,107.3,117.7,121,128.2,133.9,138.7,143.5,147.6,146,
3176C,Healthy,6.2,> 50%,2.467590852,1,100,nd,nd,97.3,99.5,101.1,104.3,107,107,111.8,111.8,112.8,111.7,113.5
3176C,Healthy,6.2,> 50%,2.439013217,2,100,nd,nd,101.5,102.5,103.6,107.1,110.7,104.6,113.2,111.2,112.7,110.1,
3176C,Healthy,6.2,> 50%,2.258559216,3,100,nd,nd,101,104.6,107.1,108.1,111.2,112.2,115.7,114.2,116.2,114.3,
3176C,Healthy,6.2,> 50%,2.454250071,4,100,nd,nd,102.5,104,102.5,104.5,107,105,109.5,110.9,110.9,109.4,
3176C,Healthy,6.2,> 50%,2.139060078,5,100,nd,nd,101.1,104.9,106.6,107.7,112.1,114.8,115.4,118.1,122,122,
8003C,Healthy,6.1,< 50%,2.768394799,3,100,98.6,102.8,105.5,113.8,118.6,124.1,125.5,129.7,131.7,135.9,142.1,140.5,131.5
8003C,Healthy,6.1,< 50%,2.950627022,4,100,95.3,94.8,96.4,101,102.1,102.1,107.3,108.8,109.3,111.4,112.4,113.5,
8003C,Healthy,6.1,< 50%,2.723518657,6,100,94.5,97,99.4,106.1,112.2,116.5,117.7,123.2,125.6,129.3,130.5,130.8,
8003C,Healthy,6.1,< 50%,2.665079699,10,100,97.2,100,103.5,111.3,117.7,120.6,127,137.6,137.6,143.3,146.8,149.3,
8003C,Healthy,6.1,< 50%,2.768713609,11,100,100.6,100.6,103.9,110.1,109.6,113.5,116.3,116.9,116.9,118,121.9,123.7,
8243C,Healthy,6.1,< 50%,3.793204756,1,100,98.3,101.7,106.7,118.3,128.3,133.3,144.2,152.5,154.2,156.7,164.2,162.3,156.2
8243C,Healthy,6.1,< 50%,3.996491161,5,100,101,103.8,109.6,117.3,131.7,137.5,151,159.6,163.5,168.3,173.1,172.9,
8243C,Healthy,6.1,< 50%,3.400124465,12,100,94.4,99.2,104.8,112.1,117.7,128.2,134.7,146,148.4,151.6,155.6,154.3,
